Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
Diaminobutyricimonas,12,6,0,1,4,1,0,0,0,0,0,1,0,0,0,0,16,1,6,17,6,2,1,0,1,0,4,10,3,8,0,2,1,49,1,5,4,0,1,0,1,4,2,0,0,0,0,35,2,5,13,11,6,11,9,0,2,3,21,0,26,22,4,0,1,0,0,4,1,1,0,0,1,0,2,4,0,2,10,0,0,5,0,1
JF727728_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,46,48,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM886842_g,8,1,3,2,0,2,0,1,32,21,28,60,9,1,16,9,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,3,6,9,1,0,0,0,0,0,0,4,2,0,0,0,0,4,3,1,0,1,7,16,11,0,8,10,6,0,4,9,0,0,0,0,0,0,0,0,1,0,0,0,8,3,1,9,3,4,0,0,0,0
Kribbella,6,2,2,13,16,1,17,12,0,0,0,0,5,6,0,7,0,1,0,1,0,2,23,9,35,29,1,0,0,2,0,4,2,0,0,0,0,0,0,0,1,1,2,1,0,0,3,3,0,12,0,2,3,4,1,0,0,3,18,1,0,8,0,0,1,0,0,0,0,0,0,3,0,2,3,17,0,3,7,10,0,0,0,0
Micromonospora,0,1,1,1,1,0,12,4,2,7,9,19,8,7,3,16,2,2,1,0,1,0,0,1,0,0,1,0,0,1,0,1,3,4,2,0,0,0,0,0,0,2,3,0,1,0,0,6,3,25,0,3,0,9,7,0,8,11,14,0,4,5,0,2,1,0,2,4,6,4,6,25,0,1,16,8,0,3,3,6,0,0,0,0
Nocardiaceae_uc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0
EU861822_g,3,8,11,8,2,2,0,2,9,3,2,3,0,1,6,0,3,0,3,8,5,0,6,2,0,1,0,2,0,5,0,1,2,18,2,7,4,0,0,0,2,9,1,0,0,0,0,23,1,7,0,10,9,4,4,0,9,4,1,0,11,12,1,0,0,0,0,0,0,0,0,2,1,0,6,4,0,4,8,4,0,2,1,1
Microbispora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,44,0,19,10,0,10,22,1,0,8,10,11,0,0,6,3,0,0,0,0,0,0,0,0,5,1,0,9,12,0,12,46,23,0,0,0,0
Marmoricola,2,1,1,1,5,0,0,3,26,17,3,5,7,6,3,1,0,1,9,1,2,1,1,0,0,0,2,1,1,1,0,6,3,7,1,1,5,0,0,0,1,2,5,0,0,0,0,26,1,0,0,4,1,11,8,0,6,8,9,1,9,10,0,0,0,0,0,0,0,0,0,12,0,0,7,7,0,3,2,1,0,1,1,1
Salinibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50,57,37,83,0,0,0,0,0,0,0,0,0,0,0,0,0
Couchioplanes,14,7,4,11,7,0,0,4,0,1,1,4,3,1,1,0,2,5,2,0,1,7,1,1,0,0,0,3,0,4,0,3,2,7,0,3,2,0,0,0,1,0,1,0,0,0,0,11,0,31,1,3,8,10,1,0,0,5,14,0,6,11,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,8,4,0,0,0,0
Dietzia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,49,8,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,1,2,2,1,2,9,0,0,51,40,0,0,0,0,0,2,2,0
